target,english,category,ipa_target,ipa_english
eu,I,pronoun,/jew/,/aɪ/
tu,you (singular),pronoun,/tu/,/juː/
el,he,pronoun,/jel/,/hiː/
ea,she,pronoun,/ja/,/ʃiː/
noi,we,pronoun,/noj/,/wiː/
voi,you (plural),pronoun,/voj/,/juː/
ei,they (masculine),pronoun,/jej/,/ðeɪ/
ele,they (feminine),pronoun,/ˈje.le/,/ðeɪ/
mine,me (stressed),pronoun,/ˈmi.ne/,/miː/
tine,you (stressed),pronoun,/ˈti.ne/,/juː/
se,oneself (reflexive),pronoun,/se/,/wʌnˈself/
mă,me (unstressed),pronoun,/mə/,/miː/
te,you (unstressed),pronoun,/te/,/juː/
ne,us (unstressed),pronoun,/ne/,/ʌs/
vă,you pl. (unstressed),pronoun,/və/,/juː/
îl,him (unstressed),pronoun,/ɨl/,/hɪm/
le,them (unstressed),pronoun,/le/,/ðem/
acesta,this one (masculine),pronoun,/a.ˈt͡ʃes.ta/,/ðɪs wʌn/
aceasta,this one (feminine),pronoun,/a.ˈt͡ʃe̯as.ta/,/ðɪs wʌn/
meu,my (masculine),determiner,/mew/,/maɪ/
mea,my (feminine),determiner,/me̯a/,/maɪ/
tău,your (masculine),determiner,/təw/,/jɔːr/
ta,your (feminine),determiner,/ta/,/jɔːr/
său,his/her (masculine),determiner,/səw/,/hɪz | hɜːr/
sa,his/her (feminine),determiner,/sa/,/hɪz | hɜːr/
nostru,our (masculine),determiner,/ˈnos.tru/,/aʊər/
vostru,your pl. (masculine),determiner,/ˈvos.tru/,/jɔːr/
lor,their,determiner,/lor/,/ðer/
acest,this (masculine),determiner,/a.ˈt͡ʃest/,/ðɪs/
această,this (feminine),determiner,/a.ˈt͡ʃe̯as.tə/,/ðɪs/
acel,that (masculine),determiner,/a.ˈt͡ʃel/,/ðæt/
de,of/from,preposition,/de/,/ɒv | frɒm/
la,at/to,preposition,/la/,/æt | tuː/
în,in,preposition,/ɨn/,/ɪn/
cu,with,preposition,/ku/,/wɪð/
pe,on,preposition,/pe/,/ɒn/
pentru,for,preposition,/ˈpen.tru/,/fɔːr/
din,from/out of,preposition,/din/,/frɒm | aʊt əv/
prin,through,preposition,/prin/,/θruː/
despre,about,preposition,/ˈdes.pre/,/əˈbaʊt/
între,between,preposition,/ˈɨn.tre/,/bɪˈtwiːn/
spre,towards,preposition,/spre/,/təˈwɔːrdz/
sub,under,preposition,/sub/,/ˈʌndər/
peste,over/above,preposition,/ˈpes.te/,/ˈoʊvər | əˈbʌv/
fără,without,preposition,/ˈfə.rə/,/wɪˈðaʊt/
lângă,near/next to,preposition,/ˈlɨn.ɡə/,/nɪər | nekst tuː/
după,after/behind,preposition,/ˈdu.pə/,/ˈæftər | bɪˈhaɪnd/
și,and,conjunction,/ʃi/,/ænd/
sau,or,conjunction,/saw/,/ɔːr/
dar,but,conjunction,/dar/,/bʌt/
că,that,conjunction,/kə/,/ðæt/
dacă,if,conjunction,/ˈda.kə/,/ɪf/
iar,and/while,conjunction,/jar/,/ænd | waɪl/
pentru că,because,conjunction,/ˈpen.tru kə/,/bɪˈkɒz/
deși,although,conjunction,/ˈde.ʃi/,/ɔːlˈðoʊ/
nici,neither/nor,conjunction,/nit͡ʃʲ/,/ˈniːðər | nɔːr/
ci,but rather,conjunction,/t͡ʃi/,/bʌt ˈræðər/
fie,either/whether,conjunction,/fje/,/ˈiːðər | ˈweðər/
ori,or/either,conjunction,/orʲ/,/ɔːr | ˈiːðər/
un,a (masculine),article,/un/,/ə/
o,a (feminine),article,/o/,/ə/
cel,the (masculine),article,/t͡ʃel/,/ðə/
cea,the (feminine),article,/t͡ʃe̯a/,/ðə/
niște,some,article,/ˈniʃ.te/,/sʌm/
unu,one,number,/ˈu.nu/,/wʌn/
doi,two,number,/doj/,/tuː/
trei,three,number,/trej/,/θriː/
patru,four,number,/ˈpa.tru/,/fɔːr/
cinci,five,number,/t͡ʃint͡ʃʲ/,/faɪv/
șase,six,number,/ˈʃa.se/,/sɪks/
șapte,seven,number,/ˈʃap.te/,/ˈsevən/
opt,eight,number,/opt/,/eɪt/
nouă,nine,number,/ˈno.wə/,/naɪn/
zece,ten,number,/ˈze.t͡ʃe/,/ten/
unsprezece,eleven,number,/un.spre.ˈze.t͡ʃe/,/ɪˈlevən/
doisprezece,twelve,number,/doj.spre.ˈze.t͡ʃe/,/twelv/
treisprezece,thirteen,number,/trej.spre.ˈze.t͡ʃe/,/ˌθɜːrˈtiːn/
paisprezece,fourteen,number,/paj.spre.ˈze.t͡ʃe/,/ˌfɔːrˈtiːn/
cincisprezece,fifteen,number,/t͡ʃint͡ʃi.spre.ˈze.t͡ʃe/,/ˌfɪfˈtiːn/
șaisprezece,sixteen,number,/ʃaj.spre.ˈze.t͡ʃe/,/ˌsɪksˈtiːn/
șaptesprezece,seventeen,number,/ʃap.te.spre.ˈze.t͡ʃe/,/ˌsevənˈtiːn/
optsprezece,eighteen,number,/opt.spre.ˈze.t͡ʃe/,/ˌeɪˈtiːn/
nouăsprezece,nineteen,number,/no.wə.spre.ˈze.t͡ʃe/,/ˌnaɪnˈtiːn/
douăzeci,twenty,number,/do.wə.ˈze.t͡ʃʲ/,/ˈtwenti/
o sută,one hundred,number,/o ˈsu.tə/,/wʌn ˈhʌndrəd/
o mie,one thousand,number,/o ˈmi.e/,/wʌn ˈθaʊzənd/
ce,what,question word,/t͡ʃe/,/wɒt/
cine,who,question word,/ˈt͡ʃi.ne/,/huː/
unde,where,question word,/ˈun.de/,/wer/
când,when,question word,/kɨnd/,/wen/
cum,how,question word,/kum/,/haʊ/
cât,how much,question word,/kɨt/,/haʊ mʌtʃ/
de ce,why,question word,/de t͡ʃe/,/waɪ/
care,which/that,question word,/ˈka.re/,/wɪtʃ | ðæt/
nu,no/not,particle,/nu/,/noʊ | nɒt/
da,yes,particle,/da/,/jes/
mai,more/still,particle,/maj/,/mɔːr | stɪl/
tot,all/still,particle,/tot/,/ɔːl | stɪl/
deja,already,particle,/de.ˈʒa/,/ɔːlˈredi/
doar,only/just,particle,/do̯ar/,/ˈoʊnli | dʒʌst/
chiar,even/really,particle,/kjar/,/ˈiːvən | ˈrɪəli/
ca,as/like,particle,/ka/,/æz | laɪk/
a fi,to be,verb,/a fi/,/tuː biː/
a avea,to have,verb,/a a.ˈve̯a/,/tuː hæv/
a face,to do/make,verb,/a ˈfa.t͡ʃe/,/tuː duː | meɪk/
a putea,to be able,verb,/a pu.ˈte̯a/,/tuː biː ˈeɪbəl/
a vrea,to want,verb,/a vre̯a/,/tuː wɒnt/
a ști,to know,verb,/a ʃti/,/tuː noʊ/
a merge,to go,verb,/a ˈmer.d͡ʒe/,/tuː ɡoʊ/
a veni,to come,verb,/a ve.ˈni/,/tuː kʌm/
a da,to give,verb,/a da/,/tuː ɡɪv/
a lua,to take,verb,/a ˈlu.a/,/tuː teɪk/
a vedea,to see,verb,/a ve.ˈde̯a/,/tuː siː/
a spune,to say,verb,/a ˈspu.ne/,/tuː seɪ/
a crede,to believe,verb,/a ˈkre.de/,/tuː bɪˈliːv/
a trebui,must/to have to,verb,/a tre.ˈbu.i/,/mʌst | tuː hæv tuː/
a găsi,to find,verb,/a ɡə.ˈsi/,/tuː faɪnd/
a sta,to stay/sit,verb,/a sta/,/tuː steɪ | sɪt/
a pune,to put,verb,/a ˈpu.ne/,/tuː pʊt/
a dori,to wish,verb,/a do.ˈri/,/tuː wɪʃ/
a pleca,to leave,verb,/a ple.ˈka/,/tuː liːv/
a ajunge,to arrive,verb,/a a.ˈʒun.d͡ʒe/,/tuː əˈraɪv/
a lucra,to work,verb,/a lu.ˈkra/,/tuː wɜːrk/
a munci,to work hard,verb,/a mun.ˈt͡ʃi/,/tuː wɜːrk hɑːrd/
a citi,to read,verb,/a t͡ʃi.ˈti/,/tuː riːd/
a scrie,to write,verb,/a ˈskri.e/,/tuː raɪt/
a vorbi,to speak,verb,/a vor.ˈbi/,/tuː spiːk/
a înțelege,to understand,verb,/a ɨn.t͡se.ˈle.d͡ʒe/,/tuː ˌʌndərˈstænd/
a asculta,to listen,verb,/a as.kul.ˈta/,/tuː ˈlɪsən/
a mânca,to eat,verb,/a mɨn.ˈka/,/tuː iːt/
a bea,to drink,verb,/a be̯a/,/tuː drɪŋk/
a dormi,to sleep,verb,/a dor.ˈmi/,/tuː sliːp/
a deschide,to open,verb,/a des.ˈki.de/,/tuː ˈoʊpən/
a închide,to close,verb,/a ɨn.ˈki.de/,/tuː kloʊz/
a cumpăra,to buy,verb,/a kum.pə.ˈra/,/tuː baɪ/
a vinde,to sell,verb,/a ˈvin.de/,/tuː sel/
a plăti,to pay,verb,/a plə.ˈti/,/tuː peɪ/
a începe,to begin,verb,/a ɨn.ˈt͡ʃe.pe/,/tuː bɪˈɡɪn/
a termina,to finish,verb,/a ter.mi.ˈna/,/tuː ˈfɪnɪʃ/
a iubi,to love,verb,/a ju.ˈbi/,/tuː lʌv/
a plăcea,to like/please,verb,/a plə.ˈt͡ʃe̯a/,/tuː laɪk | pliːz/
a ajuta,to help,verb,/a a.ʒu.ˈta/,/tuː help/
a locui,to live/reside,verb,/a lo.ku.ˈi/,/tuː lɪv | rɪˈzaɪd/
a trăi,to live,verb,/a trə.ˈi/,/tuː lɪv/
a întâlni,to meet,verb,/a ɨn.tɨl.ˈni/,/tuː miːt/
a aștepta,to wait,verb,/a aʃ.tep.ˈta/,/tuː weɪt/
a căuta,to search,verb,/a kəw.ˈta/,/tuː sɜːrtʃ/
a trimite,to send,verb,/a tri.ˈmi.te/,/tuː send/
a primi,to receive,verb,/a pri.ˈmi/,/tuː rɪˈsiːv/
a chema,to call,verb,/a ke.ˈma/,/tuː kɔːl/
a răspunde,to answer,verb,/a rəs.ˈpun.de/,/tuː ˈɑːnsər/
a întreba,to ask,verb,/a ɨn.tre.ˈba/,/tuː æsk/
a explica,to explain,verb,/a eks.pli.ˈka/,/tuː ɪkˈspleɪn/
a învăța,to learn/teach,verb,/a ɨn.və.ˈt͡sa/,/tuː lɜːrn | tiːtʃ/
a uita,to forget,verb,/a uj.ˈta/,/tuː fərˈɡet/
a aminti,to remember,verb,/a a.min.ˈti/,/tuː rɪˈmembər/
a gândi,to think,verb,/a ɡɨn.ˈdi/,/tuː θɪŋk/
a simți,to feel,verb,/a sim.ˈt͡si/,/tuː fiːl/
a arăta,to show,verb,/a a.rə.ˈta/,/tuː ʃoʊ/
a alege,to choose,verb,/a a.ˈle.d͡ʒe/,/tuː tʃuːz/
a permite,to allow,verb,/a per.ˈmi.te/,/tuː əˈlaʊ/
a opri,to stop,verb,/a o.ˈpri/,/tuː stɒp/
a continua,to continue,verb,/a kon.ti.nu.ˈa/,/tuː kənˈtɪnjuː/
a schimba,to change,verb,/a skim.ˈba/,/tuː tʃeɪndʒ/
a folosi,to use,verb,/a fo.lo.ˈsi/,/tuː juːz/
a rămâne,to remain,verb,/a rə.ˈmɨ.ne/,/tuː rɪˈmeɪn/
a deveni,to become,verb,/a de.ve.ˈni/,/tuː bɪˈkʌm/
a exista,to exist,verb,/a eɡ.zis.ˈta/,/tuː ɪɡˈzɪst/
a părea,to seem,verb,/a pə.ˈre̯a/,/tuː siːm/
a repeta,to repeat,verb,/a re.pe.ˈta/,/tuː rɪˈpiːt/
a ruga,to ask/pray,verb,/a ru.ˈɡa/,/tuː æsk | preɪ/
a cânta,to sing,verb,/a kɨn.ˈta/,/tuː sɪŋ/
a juca,to play,verb,/a ʒu.ˈka/,/tuː pleɪ/
a dansa,to dance,verb,/a dan.ˈsa/,/tuː dɑːns/
a călători,to travel,verb,/a kə.lə.to.ˈri/,/tuː ˈtrævəl/
a conduce,to drive,verb,/a kon.ˈdu.t͡ʃe/,/tuː draɪv/
a zbura,to fly,verb,/a zbu.ˈra/,/tuː flaɪ/
a cădea,to fall,verb,/a kə.ˈde̯a/,/tuː fɔːl/
a urca,to climb,verb,/a ur.ˈka/,/tuː klaɪm/
a coborî,to descend,verb,/a ko.bo.ˈrɨ/,/tuː dɪˈsend/
a alerga,to run,verb,/a a.ler.ˈɡa/,/tuː rʌn/
a sări,to jump,verb,/a sə.ˈri/,/tuː dʒʌmp/
a înota,to swim,verb,/a ɨ.no.ˈta/,/tuː swɪm/
a spăla,to wash,verb,/a spə.ˈla/,/tuː wɒʃ/
a pregăti,to prepare,verb,/a pre.ɡə.ˈti/,/tuː prɪˈper/
a găti,to cook,verb,/a ɡə.ˈti/,/tuː kʊk/
a servi,to serve,verb,/a ser.ˈvi/,/tuː sɜːrv/
a repara,to repair,verb,/a re.pa.ˈra/,/tuː rɪˈper/
a construi,to build,verb,/a kon.stru.ˈi/,/tuː bɪld/
a distruge,to destroy,verb,/a dis.ˈtru.d͡ʒe/,/tuː dɪˈstrɔɪ/
a crea,to create,verb,/a kre.ˈa/,/tuː kriˈeɪt/
a descoperi,to discover,verb,/a des.ko.pe.ˈri/,/tuː dɪˈskʌvər/
a câștiga,to win/earn,verb,/a kɨʃ.ti.ˈɡa/,/tuː wɪn | ɜːrn/
a pierde,to lose,verb,/a ˈpjer.de/,/tuː luːz/
